Station,Longitude,Latitude,Backsight,InstrumentHeight,Foresight,Elevation
TBM1,-78.739609,44.340699,0.752,263.099,0.0,262.347
TP1,-78.738847,44.340181,1.625,263.149,1.575,261.524
TP2,-78.737055,44.339406,2.212,263.115,2.246,260.903
TBM2,-78.736465,44.339258,1.982,262.247,2.85,260.265
TP3,-78.736111,44.339061,2.288,263.19800000000004,1.337,260.91
TBM3,-78.735851,44.338625,2.343,264.50300000000004,1.038,262.16
TP4a,-78.737517,44.338366,2.102,265.286,1.319,263.184
TBM4a,-78.738624,44.338813,0.288,264.036,1.538,263.748
TBM1,-78.739609,44.340699,0.0,0,1.616,262.42
